month_year,day_count
2007-03,4
2007-04,0
2007-05,4
2007-06,0
2007-07,0
2007-08,2
2007-09,2
2007-10,3
2007-11,0
2007-12,4
2008-01,1
2008-02,15
2008-03,6
2008-04,8
2008-05,24
2008-06,20
2008-07,10
2008-08,62
2008-09,78
2008-10,77
2008-11,134
2008-12,38
2009-01,55
2009-02,44
2009-03,110
2009-04,706
2009-05,486
2009-06,989
2009-07,241
2009-08,188
2009-09,249
2009-10,66
2009-11,124
2009-12,54
2010-01,259
2010-02,928
2010-03,215
2010-04,392
2010-05,1822
2010-06,3433
2010-07,2850
2010-08,1683
2010-09,341
2010-10,829
2010-11,1006
2010-12,1860
2011-01,652
2011-02,309
2011-03,1090
2011-04,3768
2011-05,1347
2011-06,364
2011-07,551
2011-08,2895
2011-09,3355
2011-10,2604
2011-11,1073
2011-12,1391
2012-01,1248
2012-02,2841
2012-03,3573
2012-04,8462
2012-05,12265
2012-06,5758
2012-07,5041
2012-08,6612
2012-09,7387
2012-10,5936
2012-11,17439
2012-12,5521
2013-01,6487
2013-02,23806
2013-03,27605
2013-04,11903
2013-05,29747
2013-06,10509
2013-07,23662
2013-08,87230
2013-09,27602
2013-10,28250
2013-11,21549
2013-12,13390
2014-01,9345
2014-02,22196
2014-03,30271
2014-04,21107
2014-05,31312
2014-06,62893
2014-07,33754
2014-08,32995
2014-09,22618
2014-10,72806
2014-11,40911
2014-12,32445
2015-01,118259
2015-02,43904
2015-03,62706
2015-04,51874
2015-05,124740
2015-06,65414
2015-07,65349
2015-08,58206
2015-09,83362
2015-10,101592
2015-11,52751
2015-12,110230
2016-01,83697
2016-02,68665
2016-03,42991
2016-04,114909
2016-05,83864
2016-06,188631
2016-07,131933
2016-08,88139
2016-09,215376
2016-10,142956
2016-11,128450
2016-12,90210
2017-01,106702
2017-02,165361
2017-03,178356
2017-04,155433
2017-05,161446
2017-06,211943
2017-07,233858
2017-08,205244
2017-09,176567
2017-10,188111
2017-11,204649
2017-12,197122
2018-01,136200
2018-02,504860
2018-03,258163
2018-04,166688
2018-05,406402
2018-06,244309
2018-07,731458
2018-08,422355
2018-09,484181
2018-10,233789
2018-11,173152
2018-12,205084
2019-01,132499
2019-02,167164
2019-03,154559
2019-04,222858
2019-05,141383
2019-06,213011
2019-07,169355
2019-08,134524
2019-09,128471
2019-10,148826
2019-11,332655
2019-12,194818
2020-01,253531
2020-02,139287
2020-03,239183
2020-04,350558
2020-05,1513346
2020-06,234739
2020-07,1081273
2020-08,476316
2020-09,319602
2020-10,222119
2020-11,304413
2020-12,412021
2021-01,1099395
2021-02,959580
2021-03,676488
2021-04,669040
2021-05,1467965
2021-06,846402
2021-07,650100
2021-08,560483
2021-09,469908
2021-10,825945
2021-11,1116953
2021-12,1480691
2022-01,952010
2022-02,1111795
2022-03,1247025
2022-04,2164874
