county,fips,no_percent,yes_percent,winner_2021,fully_vaccinated_percent,population
Alameda,001,82.5,17.5,D,81.46,1643700.0
Alpine,003,60.9,39.1,D,62.54,1148.0
Amador,005,36.9,63.1,R,54.27,37829.0
Butte,007,47.5,52.5,R,50.26,227075.0
Calaveras,009,38.3,61.7,R,53.23,45235.0
Colusa,011,37.1,62.9,R,59.01,21464.0
Contra Costa,013,73.1,26.9,D,82.37,1133247.0
Del Norte,015,42.0,58.0,R,47.12,27424.0
El Dorado,017,44.9,55.1,R,62.01,186661.0
Fresno,019,49.8,50.2,R,60.73,978130.0
Glenn,021,30.6,69.4,R,54.75,27897.0
Humboldt,023,65.9,34.1,D,64.92,135768.0
Imperial,025,61.3,38.7,D,88.09,180216.0
Inyo,027,49.2,50.8,R,60.75,18085.0
Kern,029,41.9,58.1,R,53.06,883053.0
Kings,031,37.2,62.8,R,44.62,150075.0
Lake,033,60.1,39.9,D,53.88,64148.0
Lassen,035,17.1,82.9,R,27.81,31185.0
Los Angeles,037,70.8,29.2,D,71.32,10098052.0
Madera,039,41.1,58.9,R,53.58,155013.0
Marin,041,84.3,15.7,D,85.81,260295.0
Mariposa,043,40.3,59.7,R,42.96,17540.0
Mendocino,045,69.6,30.4,D,66.92,87422.0
Merced,047,50.1,49.9,D,51.51,269075.0
Modoc,049,22.0,78.0,R,40.86,8938.0
Mono,051,57.4,42.6,D,63.49,14174.0
Monterey,053,70.9,29.1,D,70.7,433212.0
Napa,055,70.5,29.5,D,76.05,140530.0
Nevada,057,57.7,42.3,D,62.51,99092.0
Orange,059,52.6,47.4,D,71.68,3164182.0
Placer,061,48.9,51.1,R,68.58,380077.0
Plumas,063,37.1,62.9,R,54.56,18699.0
Riverside,065,52.4,47.6,D,59.51,2383286.0
Sacramento,067,64.0,36.0,D,67.58,1510023.0
San Benito,069,59.2,40.8,D,74.26,59416.0
San Bernardino,071,52.0,48.0,D,56.59,2135413.0
San Diego,073,58.6,41.4,D,80.82,3302833.0
San Francisco,075,86.7,13.3,D,83.78,870044.0
San Joaquin,077,56.0,44.0,D,61.86,732212.0
San Luis Obispo,079,58.5,41.5,D,63.54,281455.0
San Mateo,081,79.1,20.9,D,83.19,765935.0
Santa Barbara,083,65.0,35.0,D,68.21,443738.0
Santa Clara,085,75.9,24.1,D,84.57,1922200.0
Santa Cruz,087,80.2,19.8,D,73.77,273765.0
Shasta,089,33.7,66.3,R,45.94,179085.0
Sierra,091,38.1,61.9,R,53.21,2930.0
Siskiyou,093,41.3,58.7,R,47.62,43540.0
Solano,095,64.3,35.7,D,66.54,438530.0
Sonoma,097,77.9,22.1,D,75.91,501317.0
Stanislaus,099,48.3,51.7,R,56.66,539301.0
Sutter,101,40.8,59.2,R,59.43,95872.0
Tehama,103,26.2,73.8,R,43.02,63373.0
Trinity,105,45.7,54.3,R,45.99,12862.0
Tulare,107,41.4,58.6,R,53.29,460477.0
Tuolumne,109,39.6,60.4,R,51.89,53932.0
Ventura,111,59.5,40.5,D,70.44,848112.0
Yolo,113,71.4,28.6,D,70.86,214977.0
Yuba,115,39.2,60.8,R,49.56,75493.0
